mmsi1,mmsi2,distance_km,sog1,cog1,cog_diff_1,sog_diff_1,lat_rad_1,lon_rad_1,length_1,vessel_type_1,sog2,cog2,cog_diff_2,sog_diff_2,lat_rad_2,lon_rad_2,length_2,vessel_type_2,TCPA,DCPA,tcpa_type,base_date_time,movement_state,anomaly_dcpa_tcpa
205670000.0,338434258.0,8.838310780866598,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,35.8,303.0,,,0.5887356850132036,-2.0614877920114685,,37.0,-0.0019675919432135,0.0826472072187817,dynamic,2025-06-01,moving,False
205670000.0,338449112.0,34.33559324042297,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.1,2.0,,,0.5929085927217969,-2.067285601253668,,,2.4085156690921043,0.3976045837413995,dynamic,2025-06-01,anchored,False
205670000.0,338466098.0,34.855831026849806,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,177.7,,,0.5930590401033188,-2.0672173588799154,16.0,36.0,0.0,0.6064932899017924,static,2025-06-01,anchored,False
205670000.0,338466961.0,13.877515134261522,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,305.0,,,0.588669537034553,-2.0605385074313087,13.0,37.0,0.0,0.2424784920315661,static,2025-06-01,anchored,False
205670000.0,338467805.0,5.184019915705814,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.4,112.9,,,0.5891367616753119,-2.062293959592965,12.0,37.0,0.076820821852699,0.0702950990317299,dynamic,2025-06-01,anchored,False
205670000.0,338468221.0,6.682699534662186,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,251.4,,,0.5885517273100435,-2.064393939748964,13.0,37.0,0.0,0.1167378923843014,static,2025-06-01,anchored,False
205670000.0,338496309.0,6.523434630153243,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,8.7,51.6,,,0.5877520174467796,-2.0628878951374183,,36.0,-0.0030531488784727,0.1020098910662794,dynamic,2025-06-01,moving,False
205670000.0,338517375.0,28.44399427505432,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,20.6,51.4,,,0.5859131385468783,-2.067295898696255,13.0,37.0,-0.0129907900596875,0.0059143511640366,dynamic,2025-06-01,moving,False
205670000.0,338926430.0,5.557195630434928,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,137.4,,,0.5886203187496468,-2.064192703286209,44.0,55.0,0.0,0.0970857357746108,static,2025-06-01,anchored,False
205670000.0,366760650.0,6.339686386635825,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,248.3,,,0.5888782784130916,-2.0643426270689558,30.0,52.0,0.0,0.1107607673912969,static,2025-06-01,anchored,False
205670000.0,366762020.0,35.461920105709446,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,110.0,,,0.5931023242687682,-2.0673362158019764,18.0,37.0,0.0,0.6170765324657604,static,2025-06-01,anchored,False
205670000.0,366823250.0,6.681641574987538,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,62.3,,,0.5885525999746695,-2.064393939748964,14.0,37.0,0.0,0.1167196501201832,static,2025-06-01,anchored,False
205670000.0,366857070.0,11.015776487374277,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,28.7,199.7,,,0.5870320691303319,-2.063375889196276,44.0,40.0,0.0034965706991002,0.0448902140314049,dynamic,2025-06-01,moving,False
205670000.0,366892000.0,4.208718157525537,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,155.1,,,0.5894113019666507,-2.063192280558966,31.0,52.0,0.0,0.0730442069846342,static,2025-06-01,anchored,False
